origine_dati,tipo,nome,data,data_intera,luogo,lat,lng,citta,regione,nazione,autori_evento,morte,vittime,descrizione
cdec,vittima della Shoah,"Berger, Rosina",1944-05-18,18 maggio 1944,Fiume,45.32673,14.44241,Primorsko-Goranska,Primorsko-Goranska,Croatia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Maestro, Vanda",1943-12-13,13 dicembre 1943,Brusson,48.74885,4.70287,Marne,Marne,France,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Levi, Primo",1943-12-13,13 dicembre 1943,Brusson,48.74885,4.70287,Marne,Marne,France,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Nissim, Luciana",1943-12-13,13 dicembre 1943,Brusson,48.74885,4.70287,Marne,Marne,France,fascisti,Morto/a in campo di sterminio,1,Auschwitz
last_letters,nn,"Papi, Sergio",1944-10-19,19 ottobre 1944,Campo di addestramento militare di Munsingen (Germania),48.41167,9.498049,Baden-Württemberg,Baden-Württemberg,Germany,fascisti,fucilazione,1,"Attivo antifascista fin dal 1942, Sergio Papi è costretto ad arruolarsi nell';esercito della RSI nell';aprile del 1944. Inviato al campo di addestramento di Munsingen, in Germania, con la Divisione Littorio, decide di fuggire con altri compagni. Catturato nei pressi del Colle di Resia, in provincia di Bolzano, viene ricondotto al campo, processato e fucilato assieme agli altri fuggitivi il 19 ottobre 1944."
last_letters,nn,"Papi, Sergio",1944-10-19,19 ottobre 1944,Campo di addestramento militare di Munsingen (Germania),48.41167,9.498049,Baden-Württemberg,Baden-Württemberg,Germany,fascisti,fucilazione,1,"Attivo antifascista fin dal 1942, Sergio Papi è costretto ad arruolarsi nell';esercito della RSI nell';aprile del 1944. Inviato al campo di addestramento di Munsingen, in Germania, con la Divisione Littorio, decide di fuggire con altri compagni. Catturato nei pressi del Colle di Resia, in provincia di Bolzano, viene ricondotto al campo, processato e fucilato assieme agli altri fuggitivi il 19 ottobre 1944."
cdec,vittima della Shoah,"Loew, Giuseppe",1944-07-05,5 luglio 1944,Lomello,48.270174,11.468262,Bayern,Bayern,Germany,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Golombek, Elena",1943-12-29,29 dicembre 1943,Chieti,42.34827,14.16494,Chieti,Abruzzo,Italia,fascisti,rastrellamento,1,Auschwitz
cdec,vittima della Shoah,"Hoffmann, Olga",1943-10-31,31 ottobre 1943,Chieti,42.34827,14.16494,Chieti,Abruzzo,Italia,fascisti,rastrellamento,1,Auschwitz
atlante_stragi,fucilazione,"Castel di Ieri, 09.03.1944",1944-03-09,9 marzo 1944,Aia della fonte,42.1143143,13.7409399,L'Aquila,Abruzzo,Italia,fascisti,rappresaglia,3,"Comune in provincia de L’Aquila posto all’estremità della valle Subequana in direzione di Sulmona.Nella zona operava una banda partigiana  comandata dal capitano di artiglieria Roberto Lozzi.A Castel di Ieri l’arrivo della Commissione di leva il 7 marzo 1944 venne accolto con vivace ostilità dalla popolazione, anche a causa di una controversia insorta tra gli abitanti, l’amministrazione comunale e i militi della 130a Legione della Guardia Nazionale Repubblicana per la requisizione di una pecora da macellare. Scoppiò un tumulto nel corso del quale il carabiniere Carmelo Marrale e il milite Mario Rani dell’Aquila (di 35 anni) vennero feriti a colpi di badili e di forche; allora due guardie repubblicane lanciarono una bomba a mano che colpì alcuni civili: uno dei due militi (Giuseppe Giampiccolo di Ragusa, di 24 anni) venne ucciso a bastonate da Giuseppe Campomizzi, l’altro  (Loreto Russo di S. Felice a  Cancello - NA, di 30 anni) morì per le ferite dovute allo scoppio di una seconda bomba che stava lanciando e il cui gesto fu impedito da Terzilio Di Giambattista che a sua volta fu ferito e mutilato.   Mentre una parte dei paesani si rifugiava fuori dell’abitato, le forze militari tedesche circondarono la zona catturando 23 abitanti. Il generale Ilo Perugini, comandante locale del Comiliter, disponeva immediatamente la fucilazione degli arrestati e la messa a fuoco dell’intero paese per rappresaglia. L’ordine non divenne esecutivo per l’intervento del Prefetto Manti. L’8 fu insediata in paese una sezione del Tribunale Militare speciale del 209° Comando Militare Regionale, che estese ad un centinaio l’elenco delle persone coinvolte. Vennero, comunque, condannati per direttissima dal tribunale militare e giustiziati per mano della Guardia Nazionale Repubblicana, senza che all’incombenza provvedessero i militari tedeschi, Giuseppe Campomizzi e Giovanni Di Benedetto."
