origine_dati,tipo,nome,data,data_intera,luogo,lat,lng,citta,regione,nazione,autori_evento,morte,vittime,descrizione
cdec,vittima della Shoah,"Fodor, Alfredo",1943-10-17,17 ottobre 1943,Pola,44.869473,13.849414,Istarska,Istarska,Croatia,nazifascisti,Morto/a in campo di sterminio,1,Dachau
cdec,vittima della Shoah,"Fodor, Lilly",1943-10-17,17 ottobre 1943,Pola,44.869473,13.849414,Istarska,Istarska,Croatia,nazifascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Turad, Renata",1943-10-17,17 ottobre 1943,Pola,44.869473,13.849414,Istarska,Istarska,Croatia,nazifascisti,Morto/a in campo di sterminio,1,Auschwitz
atlante_stragi,fucilazione,"Pula (Pola), 14.09.1943",1943-09-14,14 settembre 1943,Pula (Pola),44.867088,13.852182,Istarska,Istarska,Croatia,nazifascisti,rappresaglia,21,"Il pomeriggio del 14 settembre 1943 circa 190 detenuti del carcere di Pola riuscirono ad evadere forzando un cancello secondario. Gli evasi erano in gran parte persone arrestate per attività partigiana. Ne scaturì una caccia all'uomo in tutto il territorio, le forze tedesche riuscirono a catturare una ventina di evasi che furono successivamente impiccati e fucilati."
atlante_stragi,uccisione con armi da fuoco,"Vodnjan (Dignano d'Istria), 27.01.1944",1944-01-27,27 gennaio 1944,Vodnjan (Dignano d'Istria),44.9611645,13.8528395,Istarska,Istarska,Croatia,nazifascisti,rastrellamento,13,NULL
last_letters,partigiano,"Alberti, Lorenzo",1944-10-21,21 ottobre 1944,Saorge,43.981884,7.556356,Alpes-Maritimes,Alpes-Maritimes,France,nazifascisti,fucilazione,1,"Catturato il 17 ottobre 1944 durante una missione esplorativa nella zona di Upega, Lorenzo Alberti è trasferito oltre il confine italo-francese assieme a molti altri partigiani rastrellati durante quei giorni dell';autunno 1944. Sarà; fucilato a Saorge il 21 dello stesso mese."
last_letters,partigiano,"Bentivoglio, Michele",1944-10-21,21 ottobre 1944,Saorge,43.981884,7.556356,Alpes-Maritimes,Alpes-Maritimes,France,nazifascisti,fucilazione,1,"Catturato il 17 ottobre 1944 durante una missione esplorativa nella zona di Upega, Michele Bentivoglio è trasferito oltre il confine italo-francese assieme a molti altri partigiani rastrellati durante quei giorni dell’autunno 1944. sarà fucilato a Saorge il 21 dello stesso mese."
last_letters,partigiano,"Caselli, Francesco",1944-10-21,21 ottobre 1944,Saorge,43.981884,7.556356,Alpes-Maritimes,Alpes-Maritimes,France,nazifascisti,fucilazione,1,"Catturato il 17 ottobre 1944 durante una missione esplorativa nella zona di Upega, Francesco Caselli è trasferito oltre il confine italo-francese assieme a molti altri partigiani rastrellati durante quei giorni dell';autunno 1944. Sarà; fucilato a Saorge il 21 dello stesso mese."
atlante_stragi,uccisione con armi da fuoco,CHIETI 03.12.1943,1943-12-03,3 dicembre 1943,Chieti,42.347886,14.1635845,Chieti,Abruzzo,Italia,nazifascisti,nn,2,"All’indomani dell’8 settembre 1943, si costituì in Chieti una formazione partigiana che fino ai primi di ottobre operò alle pendici sud-orientali della Majella, nella zona di Palombaro, da cui prese il nome. In quel periodo la linea del fronte stazionava sul fiume Sangro, a pochi chilometri dal paese; il compito della formazione partigiana, che manteneva regolari contatti radio con gli Alleati, era quello di condurre in salvo gli ex prigionieri fuggiti dai numerosi campi abruzzesi e marchigiani. Nel corso delle loro attività, gli uomini della Palombaro ebbero diversi scontri a fuoco con pattuglie tedesche, che lamentarono diversi feriti e diversi uomini catturati. Il 2 ottobre, nell’ennesimo scontro a fuoco, furono uccisi due tedeschi, mentre un terzo, ancorché ferito, riuscì a scampare all’agguato e a riparare a Sulmona. Il 4 ottobre reparti della Wehrmacht attaccarono le postazioni partigiane: una parte di patrioti si spostò in altra località in quota; un secondo gruppo attraversò il fronte; un terzo rientrò a Chieti. Il definitivo scioglimento della formazione avvenne il 13 ottobre, dopo un secondo attacco che consigliò ai superstiti di porre fine all’esperienza in montagna e rientrare a Chieti. Il passaggio di alcuni partigiani nella Guardia nazionale repubblicana, fece sì che molti dei loro ex compagni fossero successivamente catturati e fucilati.Il 3 dicembre, con l’aiuto di alcuni fascisti, fu tesa un’imboscata ai patrioti: 14 di essi, recatisi in una villa poco fuori la città di Chieti per incontrare degli ufficiali alleati, si trovarono di fronte uomini della Wehrmacht travestiti da inglesi che, dopo aver intimato la resa, aprirono il fuoco. Trieste Del Grosso fu l’unico ad abbassare le braccia, sembra per un dolore provocato da un ferita rimediata qualche tempo prima sul fronte greco (qualcuno propende per la reazione: ma le testimonianze di Prisco e Migliori la escludono): fu colpito da una scarica di mitra che lo freddò all’istante.Gli altri furono trasferiti a Bussi sul Tirino per essere processati da un tribunale tedesco."
atlante_stragi,fucilazione,"Lupara, Montazzoli, 18.10.1943",1943-10-18,18 ottobre 1943,Lupara,41.9409455,14.4269564,Chieti,Abruzzo,Italia,nazifascisti,legato al controllo del territorio,2,"Nell’ottobre 1943, Montazzoli vide avvicinarsi pericolosamente il fronte e, come tutti i paesi della zona, vide il continuo passaggio di numerosi reparti tedeschi, che si alternavano nella difesa delle postazioni della linea Barbara apprestata per far fronte alle truppe alleate, che diedero l’inizio alle operazioni belliche nella bassa valle del Trigno intorno al 20 ottobre, senza tuttavia ottenere, almeno inizialmente, apprezzabili risultati dal punto di vista militare. In quel periodo, nella zona vi furono atti di sabotaggio, soprattutto alle linee telefoniche che i tedeschi avevano apprestato.I primi reparti tedeschi che sostarono a Montazzoli, uomini del II Battaglione della Fallschirm-Jäger-Regiment 3, giunsero il 13 ottobre, continuando l’opera di spoliazione iniziata in altre zone e terrorizzando la popolazione del paese. Ciononostante, vi fu chi, come Giuseppe Palferro, continuò a prodigarsi per portare in salvo gli ex prigionieri di guerra alleati, rifocillandoli e conducendoli oltre le linee del fronte attraverso percorsi montani, ubicati oltre i 1200 metri, ai più sconosciuti.Intorno alla metà di ottobre, in contrada Lupara, si presentarono a Palferro due uomini dai vestiti laceri che affermarono di essere ricercati dai fascisti e dai tedeschi: senza indugiare oltre, accolse i due uomini, per i quali fu uccisa una pecora che fu successivamente condivisa con i prigionieri inglesi in attesa di passare il fronte. I due fuggiaschi, in realtà spie dei tedeschi, ben presto si allontanarono senza lasciare notizie né tracce. Il 18 ottobre, Palferro vide arrivare una pattuglia tedesca che chiese con insistenza dove fossero i prigionieri inglesi, ormai lontani ma che furono successivamente egualmente catturati : negò con decisione di averli visti fin quando i due fuggiaschi che aveva sfamato nei giorni precedenti si fecero avanti dai ranghi tedeschi, indicando il luogo in cui erano stati nascosti gli ex prigionieri alleati e denunciando Palferro, che subì un sommario processo che si concluse con la sua condanna a morte.La fucilazione avvenne il 18 ottobre stesso presso il cimitero di Montazzoli, verso le ore 17, alla presenza del podestà e del maresciallo dei carabinieri."
atlante_stragi,fucilazione,"S. Barbara, Chieti, 8-9.11.1943",1943-11-08,8 novembre 1943,S. Barbara,42.3457002,14.1757267,Chieti,Abruzzo,Italia,nazifascisti,punitivo,5,"I tedeschi giunsero a Chieti il 15 settembre 1943, trovando la piena collaborazione da parte delle autorità cittadine; altresì coadiuvati da spie del posto presero controllo del territorio adoperandosi per l’individuazione dei partigiani, impegnati in continue azioni di sabotaggio.In questo clima di terrore s’inserisce la vicenda dei partigiani trucidati in Contrada Santa Barbara l’ 8 novembre 1943, Antonio Aceto, Francesco Sciucchi, Roberto Agostini e Ruggero Carlone, sulla quale si hanno notizie discordanti.Maria Antonietta Manzi e Costantino Felice ricostruiscono l’episodio facendo riferimento alla “RelazioneD’Ercole”, ricordando che il giorno  5 novembre un gruppo di partigiani attivi in zona s’imbattè in un nucleo di paracadutisti tedeschi: nello scontro furono uccisi il tenente medico Francesco Sciucchi, il colonnello Roberto D’Agostino e il contadino Antonio Aceto.Angelo Meloni dice che lo scontro avvenne l’8 novembre e dopo un processo sommario, furono trucidati il tenente medico Francesco Sciucchi, il tenente colonnello Agostini e i contadini Antonio Aceto e Ruggero Carlone.Secondo i racconti dei parenti delle vittime, Antonio Aceto aiutò gli ex prigionieri inglesi ad attraversare il fronte e per questo, tradito da alcune spie, fu catturato e fucilato in loco.Questa testimonianza si discosta da quanto raccontato dal figlio di Antonio, Angelo Aceto secondo cui il padre venne catturato insieme a Sciucchi, in quanto sospettati di nascondere delle armi: entrambi furono trasportati sulla strada per Bucchianico e fucilati.Per quel che riguarda Ruggero Carlone, disponiamo della testimonianza della sorella, Anna Carlone, la quale ricorda che Ruggero fu colpito da colpi di mitragliatrice nel tentativo di proteggere Sciucchi, al quale stavano sparando."
atlante_stragi,fucilazione,"L'Aquila, 23.09.1943",1943-09-23,23 settembre 1943,Casermette,42.3498479,13.3995091,L'Aquila,Abruzzo,Italia,nazifascisti,rastrellamento,10,"L’Aquila, capoluogo della regione Abruzzo, era stata occupata dai tedeschi dal 14.09.1943; era sede del Platzkommandantur  e di un centro di detenzione della polizia e delle SS presso il complesso di Collemaggio.Nel pomeriggio  del 22 settembre un gruppo di circa 40 giovani (anche per sfuggire al bando di Kesserling del 18 settembre sul lavoro coatto), lasciò la città de L’Aquila per recarsi verso la zona di Collebrincioni, una frazione prospiciente il Gran Sasso. In località S. Sisto essi presero delle armi nascoste precedentemente. Per alcuni giovani l’intenzione sarebbe stata di dirigersi verso la zona di Bosco Martese, nel Gran Sasso teramano, dove si stavano raccogliendo militari sbandati, ex prigionieri di guerra e civili.In questa fase avrebbe rivestito un ruolo importante il ten. col. Gaetano d’Inzillo (padre di Bruno), anche in riferimento ad un successivo incontro a Collebrincioni con altri  militari, che avrebbero dovuto portare altre armi.Il gruppo trascorse la notte a Collebrincioni, dove all’alba fu avvertito dell’arrivo di militari tedeschi,  appartenenti al 71° Reggimento di Fanteria, comandati dal tenente Hassen, impegnati  in un rastrellamento di prigionieri alleati fuggiti dalle “Casermette”, presenti nella zona. Gli stessi  tedeschi avevano  effettuato una perquisizione nel convento di San Giuliano, arrestando alcuni POWs fuggiaschi. Per questo motivo si era lì recato il vescovo aquilano Federico  Confalonieri, onde  garantire l’incolumità dei frati.Alcune fonti  orali fanno riferimento ad una spiata di un fascista aquilano, conoscente dei fuggiaschi, che avrebbe indirizzato i tedeschi.Per sfuggire al rastrellamento, da Collebrincioni il gruppo si diresse verso monte Castellano e monte Verdone. In quella zona i tedeschi operarono un accerchiamento verso gli italiani e i  POWs:  ne seguì una sparatoria, in seguito alla quale venne ucciso un inglese, e vennero feriti due inglesi e un giovane aquilano, Umberto Aleandri (il quale, poiché era vestito con una divisa militare, venne scambiato per un soldato  e quindi portato all’ospedale) . Tra le persone  catturate vennero separati dieci giovani trovati in possesso di armi, e pertanto considerati come “franchi tiratori”. Gli altri furono portati a L’Aquila: i POWs furono nuovamente internati, mentre il gruppo aquilano venne sottoposto a pesanti ammonizioni ed intimidazioni.I dieci catturati furono dapprima radunati in una piazza di Collebrincioni, e poi condotti verso le “Casermette”, dove, in seguito ad una consultazione fra gli ufficali tedeschi, vennero condannati a morte e obbligati a scavarsi la fossa. Stefano Abbandonati ebbe salva la vita, sia perché era invalido ad un braccio, sia  per l’intervento determinante del console Silvio Masciocchi, presso il quale lavorava la madre del giovane. I nove rimasti intorno alle 14.30 vennero quindi uccisi con colpi alla nuca da un plotone misto di tedeschi e fascisti italiani. I cadaveri furono occultati ; la notizia dell’avvenuta esecuzione venne ufficialmente taciuta alla popolazione, per evitare disordini (anche se voci in merito comunque circolavano). Del fatto comunque ne ebbero conoscenza dai tedeschi il prefetto Rodolfo Biancorosso e l’arcivescovo. I familiari, che erano stati avvertiti della cattura, invano si erano recati presso le autorità tedesche e dall’arcivescovo Confalonieri (che però era assente dalla curia, poichè si trovava a S. Giuliano presso il convento oggetto della perquisizione tedesca) per implorare la salvezza dei loro congiunti.L’esecuzione fu “coperta” con la diffusione della falsa notizia della deportazione dei giovani. All’arcivescovo Confalonieri, in cambio del silenzio “pro bono pacis”, venne consentito all’alba del 25 di mandare un sacerdote per benedire il luogo della sepoltura. Soltanto dopo la liberazione della città furono riesumate le spoglie, che ebbero solenne sepoltura il 18 giugno 1944."
