origine_dati,tipo,nome,data,data_intera,luogo,lat,lng,citta,regione,nazione,autori_evento,morte,vittime,descrizione,NAME
cdec,vittima della Shoah,"Teglio, Carlo",1944-02-16,16 febbraio 1944,Abbiategrasso,45.39821,8.91678,Milano,Lombardia,Italia,nn,rastrellamento,1,Auschwitz,"Teglio, Carlo"
cdec,vittima della Shoah,"Teglio, Ivonne",1944-02-16,16 febbraio 1944,Abbiategrasso,45.39821,8.91678,Milano,Lombardia,Italia,nn,rastrellamento,1,Ravensbrueck,"Teglio, Ivonne"
cdec,vittima della Shoah,"Bachi, Arturo Enrico",1943-12-07,7 dicembre 1943,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Bachi, Arturo Enrico"
cdec,vittima della Shoah,"Bachi, Avito",1943-12-07,7 dicembre 1943,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Bachi, Avito"
cdec,vittima della Shoah,"Bachi, Michele",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Bachi, Michele"
cdec,vittima della Shoah,"De Benedetti, Elisa",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"De Benedetti, Elisa"
cdec,vittima della Shoah,"De Benedetti, Ernesta",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"De Benedetti, Ernesta"
cdec,vittima della Shoah,"Dina, Salomone Moisè Davide",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Dina, Salomone Moisè Davide"
cdec,vittima della Shoah,"Dina, Smeralda",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Dina, Smeralda"
cdec,vittima della Shoah,"Ghiron, Enrichetta",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Ghiron, Enrichetta"
cdec,vittima della Shoah,"Levi, Marietta",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Levi, Marietta"
cdec,vittima della Shoah,"Ottolenghi, Dorina",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Ottolenghi, Dorina"
cdec,vittima della Shoah,"Vigevani, Eda Anna Tesaura",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Vigevani, Eda Anna Tesaura"
cdec,vittima della Shoah,"Wessler, Elvira",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,rastrellamento,1,Auschwitz,"Wessler, Elvira"
cdec,vittima della Shoah,"Supino, Teresa",1943-12-30,30 dicembre 1943,Adria,45.05445,12.05599,Rovigo,Veneto,Italia,nn,rastrellamento,1,Auschwitz,"Supino, Teresa"
cdec,vittima della Shoah,"Heller, Samuele",1943-12-30,30 dicembre 1943,Adria,45.05445,12.05599,Rovigo,Veneto,Italia,nn,rastrellamento,1,Auschwitz,"Heller, Samuele"
cdec,vittima della Shoah,"Ravenna, Guido Anselmo",1944-08-01,1 agosto 1944,Adria,45.05445,12.05599,Rovigo,Veneto,Italia,nazisti,rastrellamento,1,Auschwitz,"Ravenna, Guido Anselmo"
cdec,vittima della Shoah,"Loeb, Gertrude",1943-11-30,30 novembre 1943,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,rastrellamento,1,Auschwitz,"Loeb, Gertrude"
cdec,vittima della Shoah,"Loeb, Hilde",1943-11-30,30 novembre 1943,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,rastrellamento,1,Auschwitz,"Loeb, Hilde"
cdec,vittima della Shoah,"Loeb, Moritz",1943-11-30,30 novembre 1943,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,rastrellamento,1,Auschwitz,"Loeb, Moritz"
cdec,vittima della Shoah,"Munk, Hans",1944-01-24,24 gennaio 1944,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,rastrellamento,1,Auschwitz,"Munk, Hans"
cdec,vittima della Shoah,"Molho, Olga",1944-01-24,24 gennaio 1944,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,nazisti,rastrellamento,1,Auschwitz,"Molho, Olga"
