origine_dati,tipo,nome,data,data_intera,luogo,lat,lng,citta,regione,nazione,autori_evento,morte,vittime,descrizione,NAME
last_letters,nn,"Papi, Sergio",1944-10-19,19 ottobre 1944,Campo di addestramento militare di Munsingen (Germania),48.41167,9.498049,Baden-Württemberg,Baden-Württemberg,Germany,fascisti,fucilazione,1,"Attivo antifascista fin dal 1942, Sergio Papi è costretto ad arruolarsi nell';esercito della RSI nell';aprile del 1944. Inviato al campo di addestramento di Munsingen, in Germania, con la Divisione Littorio, decide di fuggire con altri compagni. Catturato nei pressi del Colle di Resia, in provincia di Bolzano, viene ricondotto al campo, processato e fucilato assieme agli altri fuggitivi il 19 ottobre 1944.","Papi, Sergio"
last_letters,nn,"Papi, Sergio",1944-10-19,19 ottobre 1944,Campo di addestramento militare di Munsingen (Germania),48.41167,9.498049,Baden-Württemberg,Baden-Württemberg,Germany,fascisti,fucilazione,1,"Attivo antifascista fin dal 1942, Sergio Papi è costretto ad arruolarsi nell';esercito della RSI nell';aprile del 1944. Inviato al campo di addestramento di Munsingen, in Germania, con la Divisione Littorio, decide di fuggire con altri compagni. Catturato nei pressi del Colle di Resia, in provincia di Bolzano, viene ricondotto al campo, processato e fucilato assieme agli altri fuggitivi il 19 ottobre 1944.","Papi, Sergio"
last_letters,partigiano,"Marinelli, Zosimo",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Arrestato il 27 dicembre 1943 a Zocca di Modena per l'attività politica svolta nel breve periodo badogliano, fu associato allecarceri di S. Giovanni in Monte di Bologna. In seguito all'uccisione del federale fascista di capoluogo, Eugenio Facchini, fu selezionato insieme ad altri 9 detenuti politici per la rappresaglia. ","Marinelli, Zosimo"
last_letters,partigiano,"Bianconcini, Alessandro",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Imprigionato  il 9 gennaio 1944 alla Rocca Sforzesca di Imola dopo essere stato arrestato da militi fascisti, fu condotto a Bologna il 26 gennaio poche ore dopo l'uccisione, per mano partigiana, del segretario federale Eugenio Facchini. Fu processato con rito sommario e condannato a morte insieme ad altri nove prigionieri politici.","Bianconcini, Alessandro"
last_letters,partigiano,"Bianconcini, Alessandro",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Imprigionato  il 9 gennaio 1944 alla Rocca Sforzesca di Imola dopo essere stato arrestato da militi fascisti, fu condotto a Bologna il 26 gennaio poche ore dopo l'uccisione, per mano partigiana, del segretario federale Eugenio Facchini. Fu processato con rito sommario e condannato a morte insieme ad altri nove prigionieri politici.","Bianconcini, Alessandro"
last_letters,partigiano,"Cesarini, Ezio",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Fu arrestato il 4 gennaio 1944 dalla polizia fascista mentre ritirava la propria liquidazione presso ""Il Resto del Carlino"". Quando il 26 gennaio fu ucciso in un attentato partigiano il segretario federale Eugenio Facchini, furono scelti 10 antifascisti che si trovavano in carcere per compiere la rappresaglia. Ezio Cesarini fu processato con rito sommario e condannato a morte insieme ad altri 9 prigionieri politici: Alfredo e Romeo Bartolini, Alessandro Bianconcini, Silvio Bonfigli, Cesare Budini, Sante Contoli, Francesco D'Agostino, Zosimo Marinelli e Luigi Missoni, quest'ultimo graziato unitamente a Contoli. Furono fucilati dal plotone comandato dal commissario del fascio di Imola, Guerrino Bettini, il 27 gennaio 1944.","Cesarini, Ezio"
last_letters,partigiano,"Cesarini, Ezio",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Fu arrestato il 4 gennaio 1944 dalla polizia fascista mentre ritirava la propria liquidazione presso ""Il Resto del Carlino"". Quando il 26 gennaio fu ucciso in un attentato partigiano il segretario federale Eugenio Facchini, furono scelti 10 antifascisti che si trovavano in carcere per compiere la rappresaglia. Ezio Cesarini fu processato con rito sommario e condannato a morte insieme ad altri 9 prigionieri politici: Alfredo e Romeo Bartolini, Alessandro Bianconcini, Silvio Bonfigli, Cesare Budini, Sante Contoli, Francesco D'Agostino, Zosimo Marinelli e Luigi Missoni, quest'ultimo graziato unitamente a Contoli. Furono fucilati dal plotone comandato dal commissario del fascio di Imola, Guerrino Bettini, il 27 gennaio 1944.","Cesarini, Ezio"
last_letters,partigiano,"Cesarini, Ezio",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Fu arrestato il 4 gennaio 1944 dalla polizia fascista mentre ritirava la propria liquidazione presso ""Il Resto del Carlino"". Quando il 26 gennaio fu ucciso in un attentato partigiano il segretario federale Eugenio Facchini, furono scelti 10 antifascisti che si trovavano in carcere per compiere la rappresaglia. Ezio Cesarini fu processato con rito sommario e condannato a morte insieme ad altri 9 prigionieri politici: Alfredo e Romeo Bartolini, Alessandro Bianconcini, Silvio Bonfigli, Cesare Budini, Sante Contoli, Francesco D'Agostino, Zosimo Marinelli e Luigi Missoni, quest'ultimo graziato unitamente a Contoli. Furono fucilati dal plotone comandato dal commissario del fascio di Imola, Guerrino Bettini, il 27 gennaio 1944.","Cesarini, Ezio"
last_letters,partigiano,"Cesarini, Ezio",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Fu arrestato il 4 gennaio 1944 dalla polizia fascista mentre ritirava la propria liquidazione presso ""Il Resto del Carlino"". Quando il 26 gennaio fu ucciso in un attentato partigiano il segretario federale Eugenio Facchini, furono scelti 10 antifascisti che si trovavano in carcere per compiere la rappresaglia. Ezio Cesarini fu processato con rito sommario e condannato a morte insieme ad altri 9 prigionieri politici: Alfredo e Romeo Bartolini, Alessandro Bianconcini, Silvio Bonfigli, Cesare Budini, Sante Contoli, Francesco D'Agostino, Zosimo Marinelli e Luigi Missoni, quest'ultimo graziato unitamente a Contoli. Furono fucilati dal plotone comandato dal commissario del fascio di Imola, Guerrino Bettini, il 27 gennaio 1944.","Cesarini, Ezio"
last_letters,partigiano,"Cesarini, Ezio",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Fu arrestato il 4 gennaio 1944 dalla polizia fascista mentre ritirava la propria liquidazione presso ""Il Resto del Carlino"". Quando il 26 gennaio fu ucciso in un attentato partigiano il segretario federale Eugenio Facchini, furono scelti 10 antifascisti che si trovavano in carcere per compiere la rappresaglia. Ezio Cesarini fu processato con rito sommario e condannato a morte insieme ad altri 9 prigionieri politici: Alfredo e Romeo Bartolini, Alessandro Bianconcini, Silvio Bonfigli, Cesare Budini, Sante Contoli, Francesco D'Agostino, Zosimo Marinelli e Luigi Missoni, quest'ultimo graziato unitamente a Contoli. Furono fucilati dal plotone comandato dal commissario del fascio di Imola, Guerrino Bettini, il 27 gennaio 1944.","Cesarini, Ezio"
last_letters,partigiano,"Cesarini, Ezio",1944-01-27,27 gennaio 1944,Poligono di tiro di Borgo Panigale,44.515735,11.303744,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Fu arrestato il 4 gennaio 1944 dalla polizia fascista mentre ritirava la propria liquidazione presso ""Il Resto del Carlino"". Quando il 26 gennaio fu ucciso in un attentato partigiano il segretario federale Eugenio Facchini, furono scelti 10 antifascisti che si trovavano in carcere per compiere la rappresaglia. Ezio Cesarini fu processato con rito sommario e condannato a morte insieme ad altri 9 prigionieri politici: Alfredo e Romeo Bartolini, Alessandro Bianconcini, Silvio Bonfigli, Cesare Budini, Sante Contoli, Francesco D'Agostino, Zosimo Marinelli e Luigi Missoni, quest'ultimo graziato unitamente a Contoli. Furono fucilati dal plotone comandato dal commissario del fascio di Imola, Guerrino Bettini, il 27 gennaio 1944.","Cesarini, Ezio"
last_letters,partigiano,"Gatto, Arturo",1944-09-23,23 settembre 1944,Poligono di tiro nazionale di Bologna,44.515773,11.303762,Bologna,Emilia-Romagna,Italia,fascisti,fucilazione,1,"Arrestato dalla GNR a Bologna con tutti i membri del Comitato direttivo del Partito d'Azione cittadino (di cui faceva parte), Arturo Gatto viene processato dal 14 al 19 settembre. Condannato a morte, Verrà fucilato il mattino del 23 assieme ai suoi compagni, al poligono di tiro cittadino.","Gatto, Arturo"
