origine_dati,icona,link_icona,tipo,nome,data,data_intera,luogo,lat,lng,citta,regione,nazione,autori_evento,colori,colori_icona,morte,vittime,percentuale,descrizione,NAME
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Teglio, Carlo",1944-02-16,16 febbraio 1944,Abbiategrasso,45.39821,8.91678,Milano,Lombardia,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Auschwitz,"Teglio, Carlo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Teglio, Ivonne",1944-02-16,16 febbraio 1944,Abbiategrasso,45.39821,8.91678,Milano,Lombardia,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Ravensbrueck,"Teglio, Ivonne"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Bachi, Arturo Enrico",1943-12-07,7 dicembre 1943,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Bachi, Arturo Enrico"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Bachi, Avito",1943-12-07,7 dicembre 1943,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Bachi, Avito"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Bachi, Michele",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Bachi, Michele"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"De Benedetti, Elisa",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"De Benedetti, Elisa"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"De Benedetti, Ernesta",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"De Benedetti, Ernesta"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Dina, Salomone Moisè Davide",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Dina, Salomone Moisè Davide"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Dina, Smeralda",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Dina, Smeralda"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Ghiron, Enrichetta",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Ghiron, Enrichetta"
